trip_id,bin_code,pred,actual,error,day,abs_error
C800607,9,49.223426818847656,318.0,-268.77657318115234,5,268.77657318115234
C800608,10,70.59334564208984,26.0,44.593345642089844,5,44.593345642089844
C800609,11,49.99877166748047,98.0,-48.00122833251953,5,48.00122833251953
D031262503,11,-13.077255249023438,-8.0,-5.0772552490234375,5,5.0772552490234375
D031262513,12,-10.210479736328125,22.0,-32.210479736328125,5,32.210479736328125
D031262553,15,2.6064453125,-93.99999237060547,96.60643768310547,5,96.60643768310547
D031262557,16,4.915836334228516,14.0,-9.084163665771484,5,9.084163665771484
D031262678,19,19.780315399169922,-20.0,39.78031539916992,5,39.78031539916992
D031262682,20,137.99398803710938,165.0,-27.006011962890625,5,27.006011962890625
D031262733,21,2.00775146484375,-62.99999237060547,65.00774383544922,5,65.00774383544922
D031262737,22,56.056434631347656,439.0,-382.94356536865234,5,382.94356536865234
D031262753,23,11.001659393310547,-23.0,34.00165939331055,5,34.00165939331055
D031262757,24,50.64299392700195,49.0,1.6429939270019531,5,1.6429939270019531
D031262888,17,0.8413467407226562,-121.99999237060547,122.84133911132812,5,122.84133911132812
D031262892,18,82.73043823242188,93.0,-10.269561767578125,5,10.269561767578125
D031262938,25,6.703174591064453,-60.99999237060547,67.70316696166992,5,67.70316696166992
D031262942,26,49.86211013793945,70.0,-20.137889862060547,5,20.137889862060547
D031262968,27,0.02675628662109375,-98.99999237060547,99.02674865722656,5,99.02674865722656
D031263996,12,13.529136657714844,108.0,-94.47086334228516,5,94.47086334228516
D031264220,14,30.149513244628906,91.0,-60.850486755371094,5,60.850486755371094
D031261498,9,27.608661651611328,86.0,-58.39133834838867,5,58.39133834838867
D031261613,10,-27.452362060546875,-41.0,13.547637939453125,5,13.547637939453125
D031262573,16,3.675567626953125,6.0,-2.324432373046875,5,2.324432373046875
D031262576,17,28.11319351196289,191.0,-162.8868064880371,5,162.8868064880371
D031262653,18,8.243274688720703,11.0,-2.756725311279297,5,2.756725311279297
D031262713,20,74.91032409667969,56.0,18.910324096679688,5,18.910324096679688
D031262716,21,151.66529846191406,51.0,100.66529846191406,5,100.66529846191406
D031262743,22,21.86029052734375,11.0,10.86029052734375,5,10.86029052734375
D031262746,23,231.40115356445312,38.0,193.40115356445312,5,193.40115356445312
D031262763,24,12.10763931274414,52.0,-39.89236068725586,5,39.89236068725586
